year,age,population,suicides_no,suicide/100k
1987,15-24 years,602600,35,5.8081646199800865
1987,25-34 years,531500,13,2.4459078080903107
1987,35-54 years,586800,22,3.7491479209270615
1987,5-14 years,649200,0,0.0
1987,55-74 years,282100,1,0.3544842254519674
1987,75+ years,57400,2,3.484320557491289
1988,15-24 years,614800,25,4.066363044892649
1988,25-34 years,542300,10,1.8439977872026556
1988,35-54 years,598600,18,3.0070163715335783
1988,5-14 years,662200,0,0.0
1988,55-74 years,287700,7,2.4330900243309004
1988,75+ years,58700,3,5.110732538330494
1989,15-24 years,623400,17,2.7269810715431504
1989,25-34 years,549900,20,3.6370249136206585
1989,35-54 years,607000,22,3.6243822075782535
1989,5-14 years,671600,0,0.0
1989,55-74 years,291700,7,2.399725745629071
1989,75+ years,59500,2,3.361344537815126
1992,15-24 years,556100,16,2.8771803632440207
1992,25-34 years,512900,11,2.1446675765256384
1992,35-54 years,666900,14,2.0992652571599937
1992,5-14 years,699600,0,0.0
1992,55-74 years,324400,6,1.8495684340320593
1992,75+ years,62600,0,0.0
1993,15-24 years,528600,28,5.297010972379871
1993,25-34 years,491900,16,3.252693636918073
1993,35-54 years,681500,17,2.494497432134996
1993,5-14 years,707300,2,0.28276544606249115
1993,55-74 years,334500,9,2.690582959641256
1993,75+ years,63500,1,1.5748031496062993
1994,15-24 years,524800,12,2.2865853658536586
1994,25-34 years,492500,10,2.030456852791878
1994,35-54 years,705300,11,1.5596200198497094
1994,5-14 years,716200,1,0.13962580284836637
1994,55-74 years,346000,12,3.468208092485549
1994,75+ years,64500,4,6.2015503875969
1995,15-24 years,524700,24,4.574042309891366
1995,25-34 years,496900,20,4.024954719259409
1995,35-54 years,732300,22,3.004233237744094
1995,5-14 years,725200,8,1.1031439602868174
1995,55-74 years,358400,11,3.069196428571429
1995,75+ years,65900,3,4.552352048558421
1996,15-24 years,531300,33,6.211180124223603
1996,25-34 years,503200,24,4.769475357710652
1996,35-54 years,741600,21,2.831715210355987
1996,5-14 years,734500,3,0.4084411164057182
1996,55-74 years,363000,4,1.1019283746556474
1996,75+ years,66600,4,6.006006006006006
1997,15-24 years,538400,54,10.029717682020802
1997,25-34 years,509900,52,10.198078054520494
1997,35-54 years,750900,37,4.927420428818751
1997,5-14 years,743300,10,1.3453518094981838
1997,55-74 years,367300,12,3.267084127416281
1997,75+ years,67500,5,7.407407407407407
1998,15-24 years,544400,59,10.837619397501838
1998,25-34 years,515700,36,6.980802792321117
1998,35-54 years,760300,38,4.9980270945679335
1998,5-14 years,752200,3,0.39883009837809097
1998,55-74 years,372000,15,4.032258064516129
1998,75+ years,68100,3,4.405286343612335
1999,15-24 years,547400,43,7.855316039459262
1999,25-34 years,518800,32,6.168080185042405
1999,35-54 years,764700,36,4.707728520988623
1999,5-14 years,756500,1,0.13218770654329146
1999,55-74 years,374000,20,5.347593582887701
1999,75+ years,68300,7,10.248901903367496
2000,15-24 years,503900,11,2.182972812065886
2000,25-34 years,477800,20,4.185851820845542
2000,35-54 years,706900,9,1.2731645211486773
2000,5-14 years,699600,1,0.1429388221841052
2000,55-74 years,345400,10,2.895193977996526
2000,75+ years,62700,3,4.784688995215311
2001,15-24 years,527398,19,3.6025923496107306
2001,25-34 years,429255,26,6.057005742507367
2001,35-54 years,749017,46,6.141382638845313
2001,5-14 years,628912,8,1.2720380593787366
2001,55-74 years,386469,17,4.398800421249828
2001,75+ years,78298,3,3.8315154920943066
2002,15-24 years,539037,29,5.37996464064619
2002,25-34 years,429971,30,6.977214742389603
2002,35-54 years,757252,50,6.60282178191672
2002,5-14 years,624323,2,0.32034699987025944
2002,55-74 years,389842,17,4.360741018156073
2002,75+ years,78414,5,6.376412375341138
2003,15-24 years,556944,29,5.206986698842253
2003,25-34 years,428374,18,4.2019356917086474
2003,35-54 years,767956,41,5.338847538140206
2003,5-14 years,611681,4,0.6539356298462761
2003,55-74 years,397219,25,6.293757347961703
2003,75+ years,81755,7,8.562167451532018
2004,15-24 years,579036,39,6.735332518185398
2004,25-34 years,426327,27,6.333166794502811
2004,35-54 years,783203,56,7.150125829446517
2004,5-14 years,588886,4,0.6792486151818858
2004,55-74 years,411043,13,3.1626861423257417
2004,75+ years,86496,7,8.092859785423602
2005,15-24 years,563597,0,0.0
2005,25-34 years,368264,0,0.0
2005,35-54 years,766755,0,0.0
2005,5-14 years,567926,0,0.0
2005,55-74 years,425116,0,0.0
2005,75+ years,91662,0,0.0
2006,15-24 years,569817,0,0.0
2006,25-34 years,360483,0,0.0
2006,35-54 years,767822,0,0.0
2006,5-14 years,549994,0,0.0
2006,55-74 years,435267,0,0.0
2006,75+ years,96793,0,0.0
2007,15-24 years,569429,26,4.565977496755522
2007,25-34 years,356123,17,4.773631582346549
2007,35-54 years,770437,43,5.581248044940728
2007,5-14 years,529305,4,0.7557079566601487
2007,55-74 years,445280,23,5.165289256198347
2007,75+ years,99770,11,11.025358324145536
2008,15-24 years,562775,31,5.508418106703389
2008,25-34 years,355518,30,8.438391305081598
2008,35-54 years,770951,56,7.263756062317839
2008,5-14 years,508752,8,1.5724753907601345
2008,55-74 years,455120,28,6.15222358938302
2008,75+ years,103943,7,6.7344602330123235
2009,15-24 years,553451,0,0.0
2009,25-34 years,357667,0,0.0
2009,35-54 years,768651,0,0.0
2009,5-14 years,489181,0,0.0
2009,55-74 years,467872,0,0.0
2009,75+ years,108913,0,0.0
2010,15-24 years,543089,16,2.9461101219137196
2010,25-34 years,363299,15,4.128830522517266
2010,35-54 years,766204,32,4.176433430261393
2010,5-14 years,464908,2,0.4301926402643104
2010,55-74 years,483343,27,5.586095174648231
2010,75+ years,115182,4,3.472764841728742
